Stock Name,Day,Action,Stock Price,Cash,Shares Held,Portfolio Value,Date,Actual Sell
ASTS,196,Buy,19.729999542236328,9502.545000553131,59,10666.614973545074,2024-08-12,True
ASTS,197,Hold,20.959999084472656,9502.545000553131,59,10739.184946537018,2024-08-13,True
ASTS,198,Buy,20.809999465942383,9481.735001087189,60,10730.334969043732,2024-08-14,True
ASTS,199,Hold,31.360000610351562,9481.735001087189,60,11363.335037708282,2024-08-15,True
ASTS,200,Buy,31.030000686645508,9450.705000400543,61,11343.53504228592,2024-08-16,True
ASTS,201,Hold,38.599998474121094,9450.705000400543,61,11805.30490732193,2024-08-19,True
ASTS,202,Buy,34.31999969482422,9416.385000705719,62,11544.22498178482,2024-08-20,True
ASTS,203,Hold,36.439998626708984,9416.385000705719,62,11675.664915561676,2024-08-21,True
ASTS,204,Buy,34.13999938964844,9382.24500131607,63,11533.064962863922,2024-08-22,True
ASTS,205,Buy,32.86000061035156,9349.385000705719,64,11452.425039768219,2024-08-23,True
ASTS,206,Hold,33.779998779296875,9349.385000705719,64,11511.304922580719,2024-08-26,True
ASTS,207,Buy,31.110000610351562,9318.275000095367,65,11340.425039768219,2024-08-27,True
ASTS,208,Buy,27.8700008392334,9290.404999256134,66,11129.825054645538,2024-08-28,True
ASTS,209,Hold,29.25,9290.404999256134,66,11220.904999256134,2024-08-29,True
ASTS,210,Sell,29.040000915527344,9290.404999256134,66,11207.045059680939,2024-08-30,True
ASTS,211,Sell,29.40999984741211,9290.404999256134,66,11231.464989185333,2024-09-03,True
ASTS,212,Hold,33.08000183105469,9290.404999256134,66,11473.685120105743,2024-09-04,True
ASTS,213,Sell,28.450000762939453,9290.404999256134,66,11168.105049610138,2024-09-05,True
ASTS,214,Sell,26.110000610351562,9290.404999256134,66,11013.665039539337,2024-09-06,True
ASTS,215,Sell,25.940000534057617,9316.344999790192,65,11002.445034503937,2024-09-09,True
ASTS,216,Sell,26.110000610351562,9342.455000400543,64,11013.495039463043,2024-09-10,True
ASTS,217,Hold,27.899999618530273,9342.455000400543,64,11128.05497598648,2024-09-11,True
ASTS,218,Sell,26.790000915527344,9342.455000400543,64,11057.015058994293,2024-09-12,True
ASTS,219,Hold,29.829999923706055,9342.455000400543,64,11251.57499551773,2024-09-13,True
ASTS,220,Buy,29.84000015258789,9312.615000247955,65,11252.215010166168,2024-09-16,True
ASTS,221,Sell,28.0,9312.615000247955,65,11132.615000247955,2024-09-17,True
ASTS,222,Sell,28.299999237060547,9312.615000247955,65,11152.11495065689,2024-09-18,True
ASTS,223,Buy,28.610000610351562,9284.004999637604,66,11172.265039920807,2024-09-19,True
ASTS,224,Buy,26.5,9257.504999637604,67,11033.004999637604,2024-09-20,True
ASTS,225,Buy,26.610000610351562,9230.894999027252,68,11040.375040531158,2024-09-23,True
ASTS,226,Sell,25.850000381469727,9230.894999027252,68,10988.695024967194,2024-09-24,True
ASTS,227,Sell,24.389999389648438,9230.894999027252,68,10889.414957523346,2024-09-25,True
ASTS,228,Sell,23.829999923706055,9254.724998950958,67,10851.334993839264,2024-09-26,True
ASTS,229,Hold,25.31999969482422,9254.724998950958,67,10951.16497850418,2024-09-27,True
ASTS,230,Hold,26.149999618530273,9254.724998950958,67,11006.774973392487,2024-09-30,True
ASTS,231,Sell,24.104999542236328,9254.724998950958,67,10869.759968280792,2024-10-01,True
ASTS,232,Sell,23.84000015258789,9254.724998950958,67,10852.005009174347,2024-10-02,True
ASTS,233,Sell,23.219999313354492,9277.944998264313,66,10810.46495294571,2024-10-03,True
ASTS,234,Hold,26.110000610351562,9277.944998264313,66,11001.205038547516,2024-10-04,True
ASTS,235,Sell,24.90999984741211,9277.944998264313,66,10922.004988193512,2024-10-07,True
ASTS,236,Sell,24.200000762939453,9277.944998264313,66,10875.145048618317,2024-10-08,True
ASTS,237,Sell,22.610000610351562,9300.554998874664,65,10770.205038547516,2024-10-09,True
ASTS,238,Hold,23.06999969482422,9300.554998874664,65,10800.104979038239,2024-10-10,True
ASTS,239,Hold,24.18000030517578,9300.554998874664,65,10872.25501871109,2024-10-11,True
ASTS,240,Hold,25.1200008392334,9300.554998874664,65,10933.355053424835,2024-10-14,True
ASTS,241,Buy,24.25,9276.304998874664,66,10876.804998874664,2024-10-15,True
ASTS,242,Hold,28.219999313354492,9276.304998874664,66,11138.82495355606,2024-10-16,True
ASTS,243,Buy,28.489999771118164,9247.814999103546,67,11156.644983768463,2024-10-17,True
